
index,kernel,benchmark,params,cycles,total_time,eqsat_time,max_ram_used,saturated
107,naive.fixed,mat-mul,18x18_18x18,50631,155.66835403442383,152.207,4.821889024,no
108,nature,mat-mul,18x18_18x18,3282,155.66835403442383,152.207,4.821889024,no
109,dios,mat-mul,20x20_20x20,21884,151.47181940078735,147.173,4.764356608,no
110,eigen,mat-mul,20x20_20x20,21692,151.47181940078735,147.173,4.764356608,no
111,naive.clang,mat-mul,20x20_20x20,2974,151.47181940078735,147.173,4.764356608,no
112,naive.fixed,mat-mul,20x20_20x20,69295,151.47181940078735,147.173,4.764356608,no
113,nature,mat-mul,20x20_20x20,3861,151.47181940078735,147.173,4.764356608,no
114,dios,q-prod,0,63,4.342559099197388,3.055,0.170151936,yes
115,eigen,q-prod,0,58,4.342559099197388,3.055,0.170151936,yes
116,naive.clang,q-prod,0,73,4.342559099197388,3.055,0.170151936,yes
117,naive.fixed,q-prod,0,177,4.342559099197388,3.055,0.170151936,yes
118,dios,qr-decomp,3,340,214.9143135547638,203.411,2.265649152,no
119,eigen,qr-decomp,3,3277,214.9143135547638,203.411,2.265649152,no
120,naive,qr-decomp,3,10162,214.9143135547638,203.411,2.265649152,no
121,naive.clang,qr-decomp,3,8814,214.9143135547638,203.411,2.265649152,no
122,naive.fixed,qr-decomp,3,8976,214.9143135547638,203.411,2.265649152,no
123,dios,qr-decomp,4,586,7595.881050109863,1119.254,32.573067264,no
124,eigen,qr-decomp,4,5076,7595.881050109863,1119.254,32.573067264,no
125,naive,qr-decomp,4,16907,7595.881050109863,1119.254,32.573067264,no
126,naive.clang,qr-decomp,4,16097,7595.881050109863,1119.254,32.573067264,no
127,naive.fixed,qr-decomp,4,16790,7595.881050109863,1119.254,32.573067264,no
128,nature,qr-decomp,4,1974,7595.881050109863,1119.254,32.573067264,no
