index,date,benchmark,params,exp,timeout,compile_time,cycles,alpha,beta,cost,killed,memory_used
101,Aug31-1025,2d-conv,16x16_4x4,325,180,70.78333616256714,7159,-4035.0,6.0,4021.3410000000003,False,0.287481856
102,Aug31-1025,2d-conv,16x16_4x4,361,180,5.016155958175659,7387,-5.0,15.0,6142096.345,False,0.196001792
103,Aug31-1025,2d-conv,16x16_4x4,395,180,10.684152603149414,5203,-0.5,30.0,6049156.171000001,False,0.4489216
104,Aug31-1025,2d-conv,16x16_4x4,359,180,71.32784795761108,7159,-15.0,15.0,4021.3410000000003,False,0.223903744
105,Aug31-1025,2d-conv,16x16_4x4,392,180,70.71072697639465,7159,-15.0,30.0,4021.3410000000003,False,0.32724992
106,Aug31-1025,2d-conv,16x16_4x4,366,180,247.81943559646606,2252,5.0,15.0,1361795.5469999982,False,31.774953472
107,Aug31-1025,2d-conv,16x16_4x4,350,180,232.7988221645355,2409,5.0,10.0,1361795.5469999982,False,72.271486976
108,Aug31-1025,2d-conv,16x16_4x4,368,180,248.39710140228271,2252,15.0,15.0,1361795.5469999982,False,31.712333824
109,Aug31-1025,2d-conv,16x16_4x4,357,180,45.67273998260499,7033,-4040.0,15.0,3983.3539999999994,False,0.116707328
110,Aug31-1025,2d-conv,16x16_4x4,303,180,386.07750248908997,7528,10.0,4.0,7039362.119999995,False,53.617987584
111,Aug31-1025,2d-conv,16x16_4x4,304,180,380.2668960094452,7528,15.0,4.0,7039362.119999995,False,53.617127424
112,Aug31-1025,2d-conv,16x16_4x4,332,180,227.95274662971494,2409,1.0,6.0,1361795.5469999982,False,67.8829056
113,Aug31-1025,2d-conv,16x16_4x4,335,180,232.97361493110654,2409,10.0,6.0,1361795.5469999982,False,67.786862592
114,Aug31-1025,2d-conv,16x16_4x4,369,180,248.41517782211304,2252,4035.0,15.0,1361795.5469999982,False,31.816441856
115,Aug31-1025,2d-conv,16x16_4x4,356,180,45.672776222229004,7033,-4045.0,15.0,3983.3539999999994,False,0.283734016
116,Aug31-1025,2d-conv,16x16_4x4,351,180,227.78397679328918,2409,10.0,10.0,1361795.5469999982,False,67.879026688
117,Aug31-1025,2d-conv,16x16_4x4,358,180,70.7502281665802,7159,-4035.0,15.0,4021.3410000000003,False,0.152530944
118,Aug31-1025,2d-conv,16x16_4x4,367,180,247.82331848144528,2252,10.0,15.0,1361795.5469999982,False,31.777112064
119,Aug31-1025,2d-conv,16x16_4x4,393,180,5.013489484786987,7387,-5.0,30.0,6142096.345,False,0.187117568
120,Aug31-1025,2d-conv,16x16_4x4,394,180,10.020910501480104,5203,-1.0,30.0,6049156.171000001,False,0.282181632
121,Aug31-1025,2d-conv,16x16_4x4,360,180,5.017036199569702,7387,-10.0,15.0,6142096.345,False,0.196620288
122,Aug31-1025,2d-conv,16x16_4x4,334,180,227.91359949111936,2409,5.0,6.0,1361795.5469999982,False,67.864260608
123,Aug31-1025,2d-conv,16x16_4x4,333,180,293.7294054031372,2526,0.5,6.0,1361946.5469999984,False,15.823249408
124,Aug31-1025,2d-conv,16x16_4x4,305,180,385.42712473869324,7528,4035.0,4.0,7039362.119999995,False,53.617250304
125,Aug31-1025,2d-conv,16x16_4x4,302,180,385.4057278633117,7528,5.0,4.0,7039362.119999995,False,53.61741824
126,Aug31-1025,2d-conv,16x16_4x4,419,180,40.59626364707947,7033,-4045.0,2025.0,3983.3539999999994,False,0.116621312
